2025-04-27 17:55:10,2,4,10,20
2025-04-27 17:55:25,2,4,6,10
2025-04-27 18:50:35,2,2,3,5
2025-04-27 18:56:55,2,2,2,2
2025-04-27 19:07:21,2,4,6,9
2025-04-27 19:08:09,2,2,3,4
2025-04-27 19:19:13,2,4,10,19
2025-04-27 19:30:10,2,2,2,2
2025-04-27 19:30:54,2,2,3,5
2025-04-27 19:31:37,2,2,3,4
2025-04-27 19:32:31,2,2,3,5
2025-04-27 19:32:56,2,2,3,5
2025-04-27 19:33:16,2,2,3,4
2025-04-27 19:33:51,2,2,3,5
2025-04-27 19:34:14,2,2,2,2
2025-04-27 19:34:59,2,2,3,4
2025-04-27 19:35:25,2,2,3,4
2025-04-28 21:14:25,2,2,3,3
2025-04-28 21:33:18,2,4,6,6
2025-04-28 21:38:19,2,4,8,9
2025-04-28 21:39:19,2,4,9,11
2025-04-28 21:41:39,2,2,3,3
